time;position;velocity;reward;puff;CTRL;Cloud;Switch_ID;teleport;port_A;port_B;port_C;Trigger;optoport;Systime;Keyboard;
2,04;-360,4303;81;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4970648;NONE;
2,05;-350,7103;83;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5072798;NONE;
2,06;-340,7503;155;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5174427;NONE;
2,07;-322,1503;58;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5269924;NONE;
2,08;-315,1903;68;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5371233;NONE;
2,09;-307,0303;36;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5458919;NONE;
2,1;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5557448;NONE;
2,11;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5657579;NONE;
2,12;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5746041;NONE;
2,13;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5846493;NONE;
2,14;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.5939536;NONE;
2,15;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6035793;NONE;
2,16;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6128092;NONE;
2,17;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6228456;NONE;
2,18;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6416479;NONE;
2,19;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6508810;NONE;
2,2;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6610929;NONE;
2,21;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6693629;NONE;
2,22;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6794832;NONE;
2,23;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6895353;NONE;
2,24;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.6992956;NONE;
2,25;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7082703;NONE;
2,26;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7183412;NONE;
2,27;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7270245;NONE;
2,28;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7370537;NONE;
2,29;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7476725;NONE;
2,3;-302,7103;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7561367;NONE;
2,31;-302,7103;2;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7660402;NONE;
2,32;-302,4703;1;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7750848;NONE;
2,33;-302,3503;6;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7847088;NONE;
2,34;-301,6303;10;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.7948862;NONE;
2,35;-300,4303;47;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8041628;NONE;
2,36;-294,7903;77;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8136379;NONE;
2,37;-285,5503;97;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8233578;NONE;
2,38;-273,9103;65;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8336669;NONE;
2,39;-266,1103;139;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8433057;NONE;
2,4;-249,4303;60;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8543048;NONE;
2,41;-242,2303;47;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8637145;NONE;
2,42;-236,5903;75;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8730997;NONE;
2,43;-227,5903;33;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8827237;NONE;
2,44;-223,6303;2;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.8915953;NONE;
